timestamp,demand_mw,hour,day_of_week,is_weekend,demand_normalized
2015-01-05 20:00:00+00:00,48162.0,20,0,0,0.8377903194612937
2015-01-05 21:00:00+00:00,44515.0,21,0,0,0.7736694973363574
2015-01-05 22:00:00+00:00,39960.0,22,0,0,0.6935844014276421
2015-01-05 23:00:00+00:00,35224.0,23,0,0,0.6103169998417638
2015-01-06 00:00:00+00:00,32160.0,0,1,0,0.5564463667211702
2015-01-06 01:00:00+00:00,31627.0,1,1,0,0.5470752676828947
2015-01-06 02:00:00+00:00,30038.0,2,1,0,0.5191377885612813
2015-01-06 03:00:00+00:00,29172.0,3,1,0,0.5039119503489987
2015-01-06 04:00:00+00:00,28160.0,4,1,0,0.4861191694358001
2015-01-06 05:00:00+00:00,28158.0,5,1,0,0.4860840058371574
2015-01-06 06:00:00+00:00,32242.0,6,1,0,0.5578880742655203
2015-01-06 07:00:00+00:00,39708.0,7,1,0,0.6891537879986638
2015-01-06 08:00:00+00:00,44686.0,8,1,0,0.776675985020307
2015-01-06 09:00:00+00:00,45990.0,9,1,0,0.7996026513353377
2015-01-06 10:00:00+00:00,46794.0,10,1,0,0.813738417989697
2015-01-06 11:00:00+00:00,46896.0,11,1,0,0.815531761520474
2015-01-06 12:00:00+00:00,46927.0,12,1,0,0.8160767972994356
2015-01-06 13:00:00+00:00,46628.0,13,1,0,0.8108198393023542
2015-01-06 14:00:00+00:00,46282.0,14,1,0,0.8047365367371697
2015-01-06 15:00:00+00:00,46173.0,15,1,0,0.8028201206111434
2015-01-06 16:00:00+00:00,48030.0,16,1,0,0.8354695219508764
2015-01-06 17:00:00+00:00,51814.0,17,1,0,0.9019990505828367
2015-01-06 18:00:00+00:00,51818.0,18,1,0,0.902069377780122
2015-01-06 19:00:00+00:00,51300.0,19,1,0,0.8929620057316666
2015-01-06 20:00:00+00:00,48734.0,20,1,0,0.8478471086731016
2015-01-06 21:00:00+00:00,45028.0,21,1,0,0.7826889603882061
2015-01-06 22:00:00+00:00,40550.0,22,1,0,0.7039576630272342
2015-01-06 23:00:00+00:00,36108.0,23,1,0,0.6258593104418306
2015-01-07 00:00:00+00:00,32698.0,0,2,0,0.5659053747560525
2015-01-07 01:00:00+00:00,32413.0,1,2,0,0.56089456194947
2015-01-07 02:00:00+00:00,30988.0,2,2,0,0.5358404979165567
2015-01-07 03:00:00+00:00,30064.0,3,2,0,0.5195949153436362
2015-01-07 04:00:00+00:00,28297.0,4,2,0,0.488527875942824
2015-01-07 05:00:00+00:00,27600.0,5,2,0,0.47627336181584823
2015-01-07 06:00:00+00:00,31434.0,6,2,0,0.5436819804138756
2015-01-07 07:00:00+00:00,39845.0,7,2,0,0.6915624945056877
2015-01-07 08:00:00+00:00,45502.0,8,2,0,0.7910227332665225
2015-01-07 09:00:00+00:00,46340.0,9,2,0,0.8057562810978075
2015-01-07 10:00:00+00:00,47365.0,10,2,0,0.8237776254021837
2015-01-07 11:00:00+00:00,47844.0,11,2,0,0.8321993072771068
2015-01-07 12:00:00+00:00,48444.0,12,2,0,0.8427483868699123
2015-01-07 13:00:00+00:00,48360.0,13,2,0,0.8412715157269195
2015-01-07 14:00:00+00:00,48482.0,14,2,0,0.8434164952441233
2015-01-07 15:00:00+00:00,47993.0,15,2,0,0.8348189953759868
2015-01-07 16:00:00+00:00,50335.0,16,2,0,0.875995569386571
2015-01-07 17:00:00+00:00,53524.0,17,2,0,0.9320639274223324
2015-01-07 18:00:00+00:00,53092.0,18,2,0,0.9244685901155124
2015-01-07 19:00:00+00:00,51337.0,19,2,0,0.8936125323065562
2015-01-07 20:00:00+00:00,48595.0,20,2,0,0.845403238567435
2015-01-07 21:00:00+00:00,44786.0,21,2,0,0.7784341649524412
2015-01-07 22:00:00+00:00,40260.0,22,2,0,0.6988589412240449
2015-01-07 23:00:00+00:00,35918.0,23,2,0,0.6225187685707755
2015-01-08 00:00:00+00:00,32593.0,0,3,0,0.5640592858273116
2015-01-08 01:00:00+00:00,31607.0,1,3,0,0.5467236316964679
2015-01-08 02:00:00+00:00,30136.0,2,3,0,0.5208608048947729
2015-01-08 03:00:00+00:00,29286.0,3,3,0,0.5059162754716318
2015-01-08 04:00:00+00:00,27746.0,4,3,0,0.47884030451676424
2015-01-08 05:00:00+00:00,27931.0,5,3,0,0.4820929373912126
2015-01-08 06:00:00+00:00,32400.0,6,3,0,0.5606659985582925
2015-01-08 07:00:00+00:00,40528.0,7,3,0,0.7035708634421647
2015-01-08 08:00:00+00:00,45998.0,8,3,0,0.7997433057299084
2015-01-08 09:00:00+00:00,46903.0,9,3,0,0.8156548341157234
2015-01-08 10:00:00+00:00,47590.0,10,3,0,0.8277335302494857
2015-01-08 11:00:00+00:00,47348.0,11,3,0,0.8234787348137208
2015-01-08 12:00:00+00:00,47074.0,12,3,0,0.818661321799673
2015-01-08 13:00:00+00:00,46420.0,13,3,0,0.807162825043515
2015-01-08 14:00:00+00:00,45868.0,14,3,0,0.7974576718181339
2015-01-08 15:00:00+00:00,45856.0,15,3,0,0.7972466902262778
2015-01-08 16:00:00+00:00,47664.0,16,3,0,0.8290345833992651
2015-01-08 17:00:00+00:00,51560.0,17,3,0,0.8975332735552156
2015-01-08 18:00:00+00:00,51752.0,18,3,0,0.9009089790249134
2015-01-08 19:00:00+00:00,50848.0,19,3,0,0.8850150324384197
2015-01-08 20:00:00+00:00,48048.0,20,3,0,0.8357859943386606
2015-01-08 21:00:00+00:00,44210.0,21,3,0,0.768307048543348
